"","X1","indicador","periodo","valor_absoluto"
"1",1,"Emergency Care",2019-06-07,936
"2",2,"Prehospital Emergency Care",2019-06-07,163
"3",3,"Other",2019-06-07,606
"4",4,"Poison Control hot-line",2019-06-07,23
"5",5,"Self-care",2019-06-07,672
"6",6,"Primary care",2019-06-07,560
"7",7,"Emergency Care",2019-06-06,925
"8",8,"Self-care",2019-06-06,625
"9",9,"Other",2019-06-06,636
"10",10,"Primary care",2019-06-06,606
"11",11,"Poison Control hot-line",2019-06-06,24
"12",12,"Prehospital Emergency Care",2019-06-06,193
"13",13,"Prehospital Emergency Care",2019-06-05,186
"14",14,"Primary care",2019-06-05,654
"15",15,"Other",2019-06-05,641
"16",16,"Self-care",2019-06-05,619
"17",17,"Emergency Care",2019-06-05,906
"18",18,"Poison Control hot-line",2019-06-05,44
"19",19,"Other",2019-06-04,997
"20",20,"Self-care",2019-06-04,671
"21",21,"Poison Control hot-line",2019-06-04,18
"22",22,"Emergency Care",2019-06-04,920
"23",23,"Prehospital Emergency Care",2019-06-04,183
"24",24,"Primary care",2019-06-04,714
"25",25,"Other",2019-06-03,959
"26",26,"Primary care",2019-06-03,786
"27",27,"Self-care",2019-06-03,768
"28",28,"Emergency Care",2019-06-03,1162
"29",29,"Prehospital Emergency Care",2019-06-03,251
"30",30,"Poison Control hot-line",2019-06-03,31
"31",31,"Primary care",2019-06-02,542
"32",32,"Prehospital Emergency Care",2019-06-02,296
"33",33,"Self-care",2019-06-02,747
"34",34,"Other",2019-06-02,1025
"35",35,"Emergency Care",2019-06-02,1203
"36",36,"Poison Control hot-line",2019-06-02,27
"37",37,"Self-care",2019-06-01,768
"38",38,"Primary care",2019-06-01,430
"39",39,"Emergency Care",2019-06-01,1073
"40",40,"Prehospital Emergency Care",2019-06-01,258
"41",41,"Poison Control hot-line",2019-06-01,22
"42",42,"Other",2019-06-01,1096
"43",43,"Self-care",2019-05-31,685
"44",44,"Emergency Care",2019-05-31,1067
"45",45,"Primary care",2019-05-31,615
"46",46,"Poison Control hot-line",2019-05-31,19
"47",47,"Prehospital Emergency Care",2019-05-31,236
"48",48,"Other",2019-05-31,785
"49",49,"Emergency Care",2019-05-30,1035
"50",50,"Self-care",2019-05-30,678
"51",51,"Primary care",2019-05-30,681
"52",52,"Poison Control hot-line",2019-05-30,19
"53",53,"Other",2019-05-30,683
"54",54,"Prehospital Emergency Care",2019-05-30,194
"55",55,"Other",2019-05-29,649
"56",56,"Primary care",2019-05-29,705
"57",57,"Emergency Care",2019-05-29,1009
"58",58,"Prehospital Emergency Care",2019-05-29,161
"59",59,"Self-care",2019-05-29,667
"60",60,"Poison Control hot-line",2019-05-29,23
"61",61,"Primary care",2019-05-28,714
"62",62,"Emergency Care",2019-05-28,1021
"63",63,"Prehospital Emergency Care",2019-05-28,154
"64",64,"Poison Control hot-line",2019-05-28,27
"65",65,"Self-care",2019-05-28,665
"66",66,"Other",2019-05-28,588
"67",67,"Self-care",2019-05-27,774
"68",68,"Emergency Care",2019-05-27,1049
"69",69,"Poison Control hot-line",2019-05-27,25
"70",70,"Other",2019-05-27,781
"71",71,"Primary care",2019-05-27,816
"72",72,"Prehospital Emergency Care",2019-05-27,169
"73",73,"Self-care",2019-05-26,750
"74",74,"Emergency Care",2019-05-26,1177
"75",75,"Other",2019-05-26,592
"76",76,"Primary care",2019-05-26,546
"77",77,"Poison Control hot-line",2019-05-26,26
"78",78,"Prehospital Emergency Care",2019-05-26,177
"79",79,"Other",2019-05-25,505
"80",80,"Emergency Care",2019-05-25,1009
"81",81,"Prehospital Emergency Care",2019-05-25,147
"82",82,"Primary care",2019-05-25,421
"83",83,"Self-care",2019-05-25,772
"84",84,"Poison Control hot-line",2019-05-25,34
"85",85,"Other",2019-05-24,611
"86",86,"Primary care",2019-05-24,611
"87",87,"Emergency Care",2019-05-24,976
"88",88,"Prehospital Emergency Care",2019-05-24,146
"89",89,"Self-care",2019-05-24,665
"90",90,"Poison Control hot-line",2019-05-24,25
"91",91,"Poison Control hot-line",2019-05-23,20
"92",92,"Other",2019-05-23,631
"93",93,"Emergency Care",2019-05-23,975
"94",94,"Self-care",2019-05-23,626
"95",95,"Primary care",2019-05-23,695
"96",96,"Prehospital Emergency Care",2019-05-23,130
"97",97,"Poison Control hot-line",2019-05-22,23
"98",98,"Prehospital Emergency Care",2019-05-22,124
"99",99,"Emergency Care",2019-05-22,886
"100",100,"Primary care",2019-05-22,685
"101",101,"Other",2019-05-22,615
"102",102,"Self-care",2019-05-22,668
"103",103,"Primary care",2019-05-21,713
"104",104,"Emergency Care",2019-05-21,910
"105",105,"Poison Control hot-line",2019-05-21,33
"106",106,"Prehospital Emergency Care",2019-05-21,158
"107",107,"Other",2019-05-21,629
"108",108,"Self-care",2019-05-21,653
"109",109,"Prehospital Emergency Care",2019-05-20,204
"110",110,"Primary care",2019-05-20,760
"111",111,"Other",2019-05-20,710
"112",112,"Self-care",2019-05-20,699
"113",113,"Emergency Care",2019-05-20,1075
"114",114,"Poison Control hot-line",2019-05-20,39
"115",115,"Poison Control hot-line",2019-05-19,34
"116",116,"Primary care",2019-05-19,620
"117",117,"Self-care",2019-05-19,701
"118",118,"Prehospital Emergency Care",2019-05-19,151
"119",119,"Emergency Care",2019-05-19,1119
"120",120,"Other",2019-05-19,571
"121",121,"Self-care",2019-05-18,729
"122",122,"Prehospital Emergency Care",2019-05-18,142
"123",123,"Primary care",2019-05-18,455
"124",124,"Other",2019-05-18,551
"125",125,"Emergency Care",2019-05-18,1035
"126",126,"Poison Control hot-line",2019-05-18,27
"127",127,"Prehospital Emergency Care",2019-05-17,172
"128",128,"Other",2019-05-17,651
"129",129,"Primary care",2019-05-17,672
"130",130,"Emergency Care",2019-05-17,965
"131",131,"Self-care",2019-05-17,682
"132",132,"Poison Control hot-line",2019-05-17,34
"133",133,"Self-care",2019-05-16,665
"134",134,"Prehospital Emergency Care",2019-05-16,168
"135",135,"Primary care",2019-05-16,731
"136",136,"Emergency Care",2019-05-16,1006
"137",137,"Poison Control hot-line",2019-05-16,24
"138",138,"Other",2019-05-16,678
"139",139,"Emergency Care",2019-05-15,1031
"140",140,"Poison Control hot-line",2019-05-15,37
"141",141,"Other",2019-05-15,698
"142",142,"Primary care",2019-05-15,749
"143",143,"Prehospital Emergency Care",2019-05-15,173
"144",144,"Self-care",2019-05-15,722
"145",145,"Primary care",2019-05-14,776
"146",146,"Prehospital Emergency Care",2019-05-14,135
"147",147,"Other",2019-05-14,619
"148",148,"Emergency Care",2019-05-14,1004
"149",149,"Self-care",2019-05-14,689
"150",150,"Poison Control hot-line",2019-05-14,33
"151",151,"Self-care",2019-05-13,732
"152",152,"Poison Control hot-line",2019-05-13,39
"153",153,"Other",2019-05-13,723
"154",154,"Primary care",2019-05-13,802
"155",155,"Emergency Care",2019-05-13,1052
"156",156,"Prehospital Emergency Care",2019-05-13,167
"157",157,"Self-care",2019-05-12,775
"158",158,"Primary care",2019-05-12,545
"159",159,"Other",2019-05-12,535
"160",160,"Emergency Care",2019-05-12,1128
"161",161,"Poison Control hot-line",2019-05-12,27
"162",162,"Prehospital Emergency Care",2019-05-12,145
"163",163,"Self-care",2019-05-11,761
"164",164,"Primary care",2019-05-11,465
"165",165,"Prehospital Emergency Care",2019-05-11,149
"166",166,"Other",2019-05-11,581
"167",167,"Emergency Care",2019-05-11,1100
"168",168,"Poison Control hot-line",2019-05-11,39
"169",169,"Self-care",2019-05-10,676
"170",170,"Poison Control hot-line",2019-05-10,30
"171",171,"Emergency Care",2019-05-10,925
"172",172,"Prehospital Emergency Care",2019-05-10,156
"173",173,"Primary care",2019-05-10,592
"174",174,"Other",2019-05-10,616
"175",175,"Self-care",2019-05-09,656
"176",176,"Emergency Care",2019-05-09,964
"177",177,"Poison Control hot-line",2019-05-09,20
"178",178,"Prehospital Emergency Care",2019-05-09,209
"179",179,"Other",2019-05-09,580
"180",180,"Primary care",2019-05-09,674
"181",181,"Other",2019-05-08,616
"182",182,"Poison Control hot-line",2019-05-08,22
"183",183,"Self-care",2019-05-08,630
"184",184,"Prehospital Emergency Care",2019-05-08,164
"185",185,"Primary care",2019-05-08,756
"186",186,"Emergency Care",2019-05-08,908
"187",187,"Poison Control hot-line",2019-05-07,24
"188",188,"Self-care",2019-05-07,687
"189",189,"Primary care",2019-05-07,685
"190",190,"Emergency Care",2019-05-07,921
"191",191,"Prehospital Emergency Care",2019-05-07,167
"192",192,"Other",2019-05-07,673
"193",193,"Primary care",2019-05-06,791
"194",194,"Emergency Care",2019-05-06,1013
